true_angle_deg,recovered_angle_deg,recovered_aligned_deg,axial_error_deg,A_2D
4.081450821408317609e+01,4.138592093601502597e+01,4.138592093601502597e+01,5.714127219318498874e-01,2.694760037673133990e+00
8.896149559526887174e+01,8.976156083596018220e+01,8.976156083596018220e+01,8.000652406913104642e-01,2.573840675271097389e+00
1.059377533992272902e+02,1.066464620365498490e+02,1.066464620365498490e+02,7.087086373225588432e-01,2.800133962778344365e+00
8.538069637359731701e+01,8.659431490519935437e+01,8.659431490519935437e+01,1.213618531602037365e+00,3.299507902130566439e+00
7.112647233415127346e+01,7.342286294614582687e+01,7.342286294614582687e+01,2.296390611994553410e+00,2.709718097298243755e+00
7.156823363879698263e+01,7.226474850109576664e+01,7.226474850109576664e+01,6.965148622987840099e-01,2.811882355623968710e+00
1.344864943977128178e+02,1.334848669409796003e+02,1.334848669409796003e+02,1.001627456733217514e+00,2.756322680289425175e+00
1.315173413011100934e+02,1.325072861785778002e+02,1.325072861785778002e+02,9.899448774677068741e-01,2.899788516955646323e+00
1.220724970379494181e+02,1.223145609609468067e+02,1.223145609609468067e+02,2.420639229973886586e-01,3.019747106504375278e+00
1.544633501944864520e+02,1.575599448141146866e+02,1.575599448141146866e+02,3.096594619628234568e+00,2.874572376877787327e+00
5.910219897000335010e+01,5.895707621955864397e+01,5.895707621955864397e+01,1.451227504446990224e-01,2.682038979428438275e+00
8.051678506692614690e+01,8.156711521901590345e+01,8.156711521901590345e+01,1.050330152089756552e+00,2.773926608514677650e+00
2.860947212227073777e+01,2.830760766482742952e+01,2.830760766482742952e+01,3.018644574433153593e-01,2.803984945926822014e+00
5.654765820414468891e+01,5.589313104333348292e+01,5.589313104333348292e+01,6.545271608111988826e-01,2.481065147452533814e+00
9.153304780951354758e+01,9.257260585603522429e+01,9.257260585603522429e+01,1.039558046521676715e+00,3.446827384185581433e+00
1.632769936686786139e+02,1.649243697647564488e+02,1.649243697647564488e+02,1.647376096077834973e+00,3.094637492236782528e+00
1.301194627147572760e+02,1.313790004226933377e+02,1.313790004226933377e+02,1.259537707936061679e+00,3.013926762931005143e+00
1.683883537993366275e+01,1.486134594388536811e+01,1.486134594388536811e+01,1.977489436048301741e+00,2.749323344023847149e+00
1.363816392439414642e+02,1.370187390656594459e+02,1.370187390656594459e+02,6.370998217179817402e-01,3.045070059419218822e+00
9.544605221214833080e+01,9.503864977489652688e+01,9.503864977489652688e+01,4.074024372518039172e-01,2.600818168326294977e+00
5.290728768601388765e+01,5.342166041850904890e+01,5.342166041850904890e+01,5.143727324951612445e-01,2.612551583926823184e+00
4.047833256278381242e+01,3.802961155087541556e+01,3.802961155087541556e+01,2.448721011908389755e+00,2.769305232944869744e+00
2.101200199159392668e+01,2.123840952487856271e+01,2.123840952487856271e+01,2.264075332846289257e-01,2.798499555734242250e+00
1.702170294622522704e+02,1.716530601344901754e+02,1.716530601344901754e+02,1.436030672237905037e+00,2.683473812250895207e+00
1.663678988578335520e+02,1.659427590258223972e+02,1.659427590258223972e+02,4.251398320111547946e-01,3.112898399421417217e+00
8.409580001703447749e+01,8.301130379176370866e+01,8.301130379176370866e+01,1.084496225270768832e+00,3.164476033330632543e+00
8.760302355128759189e+01,8.979198665591296447e+01,8.979198665591296447e+01,2.188963104625372580e+00,2.972876934137183458e+00
8.805191014434916497e+01,8.920368876066889641e+01,8.920368876066889641e+01,1.151778616319731441e+00,2.496920781567155245e+00
1.605739805485004297e+02,1.585312573092006119e+02,1.585312573092006119e+02,2.042723239299817806e+00,2.929941222522487454e+00
3.783503612816610939e+01,3.578980573388486164e+01,3.578980573388486164e+01,2.045230394281247754e+00,2.582720706410028377e+00
1.471247476091967599e+02,1.464289545772315080e+02,1.464289545772315080e+02,6.957930319652518847e-01,2.596634776411772094e+00
6.791593848438611758e+01,6.590883855709003569e+01,6.590883855709003569e+01,2.007099927296081887e+00,2.521507679560414328e+00
2.383658801506038216e+01,2.431599930059343251e+01,2.431599930059343251e+01,4.794112855330467937e-01,2.756298379450382363e+00
1.597581376399367628e+02,1.584585377954008436e+02,1.584585377954008436e+02,1.299599844535919146e+00,2.365307312380119598e+00
1.257239574054822384e+02,1.288041858691807988e+02,1.288041858691807988e+02,3.080228463698560404e+00,2.602493865090760305e+00
7.514243713381377177e+01,7.343584188815498237e+01,7.343584188815498237e+01,1.706595245658789395e+00,2.942154661788689118e+00
1.688604604458796246e+02,1.694935665618330347e+02,1.694935665618330347e+02,6.331061159534101535e-01,2.753700769244538993e+00
1.614965312104349380e+02,1.625447664578834122e+02,1.625447664578834122e+02,1.048235247448474183e+00,2.859414708323862353e+00
1.070739506503500991e+02,1.103209420422183626e+02,1.103209420422183626e+02,3.246991391868263577e+00,2.980609977781812692e+00
8.370024809653001796e+01,8.322761318130959296e+01,8.322761318130959296e+01,4.726349152204250004e-01,2.670791723766266834e+00
1.016335297820103136e+02,1.013040543515490270e+02,1.013040543515490270e+02,3.294754304612865781e-01,2.776027899446919633e+00
5.506495396287242272e+01,5.313320061631080193e+01,5.313320061631080193e+01,1.931753346561620788e+00,2.718701044067937556e+00
9.294443778432392378e+01,9.612930283479875015e+01,9.612930283479875015e+01,3.184865050474826376e+00,2.635747863248903755e+00
2.340889305516340002e+01,2.578653626660474174e+01,2.578653626660474174e+01,2.377643211441338167e+00,2.800151667148119028e+00
1.635628892813054733e+02,1.667642140205645944e+02,1.667642140205645944e+02,3.201324739259121088e+00,3.304819113517348583e+00
1.032157702509970250e+02,1.049847271839777108e+02,1.049847271839777108e+02,1.768956932980685792e+00,3.000144199221471020e+00
3.635590943201604119e+01,3.799316826051540374e+01,3.799316826051540374e+01,1.637258828499369656e+00,2.557555072172736477e+00
1.659178823206750621e+02,1.676192510593405700e+02,1.676192510593405700e+02,1.701368738665507863e+00,2.985303598817188764e+00
1.270109117016004490e+02,1.254497410903988310e+02,1.254497410903988310e+02,1.561170611201617930e+00,3.072513428223010656e+00
2.173102692217939591e+01,1.921523373968699389e+01,1.921523373968699389e+01,2.515793182492402025e+00,2.889406400446453027e+00
1.542486490801213961e+02,1.533193674005858895e+02,1.533193674005858895e+02,9.292816795355065551e-01,2.515767948791237885e+00
7.873014830354207128e+00,8.753681205501976592e+00,8.753681205501976592e+00,8.806663751477685764e-01,2.747408000352419943e+00
7.778850303031711633e+01,7.630803877920340028e+01,7.630803877920340028e+01,1.480464251113716045e+00,2.292871222172766288e+00
7.180728267101981999e+01,7.289043951343435879e+01,7.289043951343435879e+01,1.083156842414538801e+00,2.595718738616364263e+00
2.680736941461855238e+01,2.573429521458072600e+01,2.573429521458072600e+01,1.073074200037822834e+00,2.482740367866023590e+00
1.059872516129693025e+02,1.054277685360900847e+02,1.054277685360900847e+02,5.594830768792178333e-01,2.910643874057071478e+00
1.240792321984207689e+02,1.229309468565897276e+02,1.229309468565897276e+02,1.148285341831041251e+00,2.686013641164410437e+00
3.116371449790852921e+01,3.323222184328795947e+01,3.323222184328795947e+01,2.068507345379430262e+00,2.719692146596280224e+00
1.711334293497901982e+01,1.544573542146855516e+01,1.544573542146855516e+01,1.667607513510461104e+00,2.392771202482000703e+00
2.328695148848409602e+01,2.454410712844168074e+01,2.454410712844168074e+01,1.257155639957588278e+00,2.848591515129344387e+00
