n_sections,condition_number,tensor_shape_error
3.000000000000000000e+00,4.268369701798162552e+00,1.771489367964448336e-01
3.000000000000000000e+00,1.809716838669054439e+01,4.219955207087874305e-01
3.000000000000000000e+00,2.560987114638288986e+00,1.111943841614055212e-01
3.000000000000000000e+00,8.945291021671685883e+00,3.222995926553809398e-01
3.000000000000000000e+00,2.441376034961282926e+01,1.519888885343528839e-01
3.000000000000000000e+00,4.902379359048108398e+00,9.180312319383765463e-02
3.000000000000000000e+00,3.484821271555453848e+00,1.374888832398042660e-01
3.000000000000000000e+00,4.572956836014948401e+00,2.036242883432036188e-01
3.000000000000000000e+00,2.765383477657581857e+00,1.787491693305213458e-01
3.000000000000000000e+00,4.654887492488930079e+00,5.215065050135832964e-02
3.000000000000000000e+00,2.039570273955838342e+00,1.642761242483107009e-01
3.000000000000000000e+00,3.183132744161566663e+00,1.403354377183817780e-01
3.000000000000000000e+00,3.762024129645451076e+00,1.260721884853603092e-01
3.000000000000000000e+00,4.772391028780735844e+00,1.013694849351654131e-01
3.000000000000000000e+00,1.137848961079363797e+01,6.089724416648645278e-01
3.000000000000000000e+00,2.883794888482198449e+00,8.839586962913838220e-02
3.000000000000000000e+00,1.493666634589273556e+01,1.669421451149103730e-01
3.000000000000000000e+00,1.683726220424140152e+01,1.382971581641056491e-01
3.000000000000000000e+00,4.863689199303164123e+00,1.523658498166008124e-01
3.000000000000000000e+00,2.774449686408986260e+00,2.646789504479524213e-01
3.000000000000000000e+00,6.906587432809164540e+00,1.004252197956207198e+02
3.000000000000000000e+00,3.668629415938207128e+00,2.225875579042881636e-01
3.000000000000000000e+00,3.761841528353497388e+00,1.367304022055386703e-01
3.000000000000000000e+00,1.738524018326448939e+01,9.671995239148965595e+01
3.000000000000000000e+00,2.222488536132439574e+00,2.191251797352296027e-01
3.000000000000000000e+00,3.935398986782560726e+00,1.602814402048385045e-01
3.000000000000000000e+00,4.922737171688396529e+00,5.854751922829186661e-01
3.000000000000000000e+00,2.418110027213412394e+00,1.037774193867830042e-01
3.000000000000000000e+00,8.059314974603665860e+00,7.012789568820536334e-02
3.000000000000000000e+00,4.685033736664899529e+00,5.508540847392388168e-02
3.000000000000000000e+00,1.120717035171122156e+01,9.282242562803618569e+01
3.000000000000000000e+00,2.490902767881773894e+00,1.523960246541768981e-01
3.000000000000000000e+00,2.193951567829033777e+00,1.055010927163909373e-01
3.000000000000000000e+00,3.979775327732508305e+00,4.394804459324863632e-01
3.000000000000000000e+00,3.599137518847732586e+00,9.357654603136138227e-02
3.000000000000000000e+00,2.861514358735431784e+01,2.818017161892012457e-01
3.000000000000000000e+00,3.882415835779406077e+00,1.742792280134568272e-01
3.000000000000000000e+00,6.916304737696587601e+00,1.899516431002384653e+00
3.000000000000000000e+00,1.137162194494035106e+01,1.160534007268334417e-01
3.000000000000000000e+00,2.667434912775899836e+00,9.152226282759043374e-02
3.000000000000000000e+00,1.245565773934773013e+01,1.449508230373087458e-01
3.000000000000000000e+00,2.416181607009837862e+00,1.625971464025292579e-01
3.000000000000000000e+00,2.969799480349303966e+00,1.221689149430914278e-01
3.000000000000000000e+00,5.556359429070959699e+00,1.043160017715421689e-01
3.000000000000000000e+00,4.473038003848285094e+00,1.167617824833859091e-01
3.000000000000000000e+00,3.354113639061357954e+00,1.816687722237709246e-01
3.000000000000000000e+00,3.523189842534439009e+00,1.899800254157980040e-01
3.000000000000000000e+00,4.521427863234975142e+00,9.649806335592694961e-02
3.000000000000000000e+00,4.283740252112693270e+00,3.776486036311745703e-02
3.000000000000000000e+00,1.565630210135006166e+02,3.950725114228584856e-01
3.000000000000000000e+00,1.209724786476841807e+01,4.516353360596796901e-02
3.000000000000000000e+00,3.354113639061357954e+00,1.816687722237705360e-01
3.000000000000000000e+00,3.678638773225789471e+00,1.198264358737657492e-01
3.000000000000000000e+00,2.721186203401547488e+00,1.841247031861502348e-01
3.000000000000000000e+00,3.361966217695903314e+00,2.591563466586931375e-01
3.000000000000000000e+00,2.353328120132866630e+00,1.928862365793909683e-01
3.000000000000000000e+00,4.848334434522630687e+00,1.214039879526584848e-01
3.000000000000000000e+00,1.098941333811293575e+01,3.009816465623810000e+00
3.000000000000000000e+00,1.738524018326448939e+01,9.671995239148965595e+01
3.000000000000000000e+00,3.054410546539414995e+01,4.249025940288447822e-01
3.000000000000000000e+00,6.190160859886052691e+00,1.175903486352952027e-01
3.000000000000000000e+00,3.662789207384705037e+00,2.367500589183497151e-01
3.000000000000000000e+00,1.696442593441055280e+01,1.044253569229475764e-01
3.000000000000000000e+00,2.957196326562611777e+00,1.188928748302274657e-01
3.000000000000000000e+00,2.358678758212643167e+00,1.457842334776789095e-01
3.000000000000000000e+00,8.822024235925118418e+00,1.092845762079184269e+00
3.000000000000000000e+00,3.480618887746043999e+00,2.330679237802499026e-01
3.000000000000000000e+00,2.726929410852578339e+00,5.348433546957757911e-02
3.000000000000000000e+00,3.368490973135659150e+00,1.151615967186580547e-01
3.000000000000000000e+00,6.906587432809164540e+00,1.004252197956207198e+02
3.000000000000000000e+00,5.043600925028993487e+01,2.194992347617796824e-01
3.000000000000000000e+00,1.445760177934781510e+01,1.369966878862514079e+02
3.000000000000000000e+00,2.545606571099004345e+00,2.493311616971952693e-01
3.000000000000000000e+00,4.261297441107857686e+00,1.933594368420845089e-01
3.000000000000000000e+00,1.137848961079363441e+01,6.089724416648738536e-01
3.000000000000000000e+00,3.212206990956754993e+00,2.113057716943783915e-01
3.000000000000000000e+00,7.091052754620636556e+00,5.811107394791502623e-01
3.000000000000000000e+00,1.812995171579317955e+01,1.770849488578723208e-01
3.000000000000000000e+00,2.550957622742702657e+00,2.877414946962798536e-01
3.000000000000000000e+00,3.316539886405252435e+00,2.877108825816084292e-01
3.000000000000000000e+00,2.573803123888642297e+00,5.582976055046101616e-02
3.000000000000000000e+00,8.284919147218856139e+00,3.552129657601639789e-01
3.000000000000000000e+00,4.028018377260893956e+00,1.146144968477158799e-01
3.000000000000000000e+00,3.612852833901114558e+00,2.581712672848262002e-01
3.000000000000000000e+00,7.005540075358916319e+00,5.310547950670712058e-01
3.000000000000000000e+00,8.046431833149414459e+00,7.853194774850298654e-02
3.000000000000000000e+00,3.142869419309182621e+00,1.161145640074146002e-01
3.000000000000000000e+00,3.707567375566080514e+00,1.858754565825964933e-01
3.000000000000000000e+00,3.895084146250094026e+00,7.174061790871591460e-02
3.000000000000000000e+00,3.673057370645866904e+00,6.681287648560294001e-02
3.000000000000000000e+00,4.257085827719400584e+01,3.776900585911325825e-01
3.000000000000000000e+00,4.351544115208249686e+00,1.765772681440863634e-01
3.000000000000000000e+00,2.203340159646062002e+00,7.555176769693859595e-02
3.000000000000000000e+00,3.994187680557273801e+00,1.647186603323269882e-01
3.000000000000000000e+00,3.622434166387246801e+00,1.286167377362314179e-01
3.000000000000000000e+00,1.444937035149813376e+01,8.475266129703490359e-02
3.000000000000000000e+00,4.970214781961939998e+00,1.248363730399874305e-01
3.000000000000000000e+00,1.938723262463075869e+01,8.928330824357830409e+01
3.000000000000000000e+00,3.437406119417047101e+00,1.620330216367483200e-01
3.000000000000000000e+00,2.631969697531246766e+00,5.940027899555193336e-02
3.000000000000000000e+00,2.667464578086368387e+00,1.732832888758029377e-01
3.000000000000000000e+00,8.405118522680297133e+00,1.914088553182577424e-01
3.000000000000000000e+00,6.594712088735930955e+00,2.884160138188081035e-01
3.000000000000000000e+00,7.910725808878762422e+00,9.276023171399923228e+01
3.000000000000000000e+00,2.550957622742703101e+00,2.877414946962792985e-01
3.000000000000000000e+00,2.383679174780839016e+00,4.595450733020086526e-02
3.000000000000000000e+00,4.160213015363223299e+00,5.009321529108349269e-01
3.000000000000000000e+00,3.361747553712910896e+00,9.101343093668769202e-02
3.000000000000000000e+00,4.351544115208251462e+00,1.765772681440847536e-01
3.000000000000000000e+00,3.607686701583531885e+00,1.188537796984503181e-01
3.000000000000000000e+00,4.572956836014948401e+00,2.036242883432036188e-01
3.000000000000000000e+00,8.969646808549066819e+00,1.263866335356470805e-01
3.000000000000000000e+00,2.107861005378587560e+00,1.137948105020486905e-01
3.000000000000000000e+00,7.449031820970501983e+00,9.309879947423395663e+01
3.000000000000000000e+00,9.256824749464188429e+00,9.523284212919672598e+01
3.000000000000000000e+00,2.891048709661360849e+00,2.275462753243932823e-01
3.000000000000000000e+00,6.808246848258802686e+01,1.624478069191550300e-01
3.000000000000000000e+00,2.863066256190751613e+00,1.868877200450042297e-01
3.000000000000000000e+00,8.731586223561958349e+00,3.743139054953256162e-01
3.000000000000000000e+00,1.938723262463076580e+01,8.928330815723622038e+01
3.000000000000000000e+00,2.366028423178453632e+00,1.262438227366865229e-01
3.000000000000000000e+00,1.281183430918051336e+01,2.741331317376920484e-01
3.000000000000000000e+00,3.691437214439034165e+00,1.201896170772093903e-01
3.000000000000000000e+00,5.025345690747665017e+00,9.409500931586315176e+01
3.000000000000000000e+00,3.362979250213505367e+01,9.340417663346637767e+01
3.000000000000000000e+00,5.495341026943260765e+00,1.656671179094633128e-01
3.000000000000000000e+00,3.523612245965837442e+00,2.277617365245116210e-01
3.000000000000000000e+00,6.906587432809169869e+00,1.004252198233347428e+02
3.000000000000000000e+00,2.807409232731952997e+01,2.378897108622165524e-01
3.000000000000000000e+00,2.057177633711903209e+00,1.013912658626603125e-01
3.000000000000000000e+00,1.286433555048862409e+01,2.142795404142011917e-01
3.000000000000000000e+00,3.416834031182044651e+00,8.864635246274314706e-02
3.000000000000000000e+00,2.189761324705772338e+00,1.259173848247038263e-01
3.000000000000000000e+00,1.597394089186976771e+02,6.942939598867398088e-01
3.000000000000000000e+00,3.317515855223747590e+00,3.276729080149696216e-01
3.000000000000000000e+00,3.803049518808921281e+00,1.593805477825417372e-01
3.000000000000000000e+00,2.669764672980218911e+00,5.834950391414529813e-02
3.000000000000000000e+00,4.197617023346567500e+00,1.439640238975136710e-01
3.000000000000000000e+00,2.122011745966810281e+01,3.170816375581473334e-01
3.000000000000000000e+00,2.923527520561113313e+00,1.931201648689934991e-01
3.000000000000000000e+00,3.910130653473104623e+00,1.668687673578718444e-01
3.000000000000000000e+00,1.235454121274741368e+01,4.733440443985188484e-01
3.000000000000000000e+00,8.046431833149407353e+00,7.853194774850194571e-02
3.000000000000000000e+00,5.301548362221212507e+00,1.653289572606454760e-01
3.000000000000000000e+00,4.093170016545678358e+00,1.981369990338367471e-01
3.000000000000000000e+00,5.467199981036284129e+00,1.230156130703579653e-01
3.000000000000000000e+00,6.109203995144503629e+00,6.734692546911853761e-02
3.000000000000000000e+00,5.951339750935338735e+00,2.782388148785917004e-01
3.000000000000000000e+00,7.065382718636314507e+00,7.222277189320094326e-01
3.000000000000000000e+00,3.622434166387245913e+00,1.286167377362322228e-01
3.000000000000000000e+00,4.612326066804072866e+00,7.255532215374123350e-02
3.000000000000000000e+00,9.256824749464188429e+00,9.523284212919672598e+01
3.000000000000000000e+00,9.256824749464195534e+00,9.523284207879414964e+01
3.000000000000000000e+00,1.127923280747281432e+01,2.809193097787149318e-01
