experiment,seed,porosity,anisotropy_true,section_size,theta_step_deg,interpolation_order,anisotropy_recovered,tensor_shape_error,orientation_error_deg,condition_number
main,503,0.15,1.0,128,5.0,1,1.3089249420548061,0.2205877117339227,nan,1.4142135623730947
main,503,0.25,1.0,128,5.0,1,1.1532406314498214,0.12040182262978867,nan,1.4142135623730947
main,503,0.35,1.0,128,5.0,1,1.178186287706982,0.13391964344289298,nan,1.4142135623730947
main,504,0.15,1.0,128,5.0,1,1.1655635214086142,0.13103717201140117,nan,1.4142135623730947
main,504,0.25,1.0,128,5.0,1,1.0868440775972628,0.07216298560361388,nan,1.4142135623730947
main,504,0.35,1.0,128,5.0,1,1.1483814730699444,0.11287422209825008,nan,1.4142135623730947
main,505,0.15,1.0,128,5.0,1,1.3173424706872048,0.22663217650571021,nan,1.4142135623730947
main,505,0.25,1.0,128,5.0,1,1.255892752014391,0.18631690786361427,nan,1.4142135623730947
main,505,0.35,1.0,128,5.0,1,1.1582735901302712,0.12434808259210268,nan,1.4142135623730947
main,506,0.15,1.0,128,5.0,1,1.1344080603499285,0.11511966595274208,nan,1.4142135623730947
main,506,0.25,1.0,128,5.0,1,1.1370213358387167,0.10489866001406432,nan,1.4142135623730947
main,506,0.35,1.0,128,5.0,1,1.1563160425579613,0.12130418094619162,nan,1.4142135623730947
main,507,0.15,1.0,128,5.0,1,1.3327016932656237,0.24055150966462693,nan,1.4142135623730947
main,507,0.25,1.0,128,5.0,1,1.3085073312404971,0.22526563739014938,nan,1.4142135623730947
main,507,0.35,1.0,128,5.0,1,1.216937882960709,0.16247956560440052,nan,1.4142135623730947
main,508,0.15,1.0,128,5.0,1,1.3922723634664302,0.272387526876637,nan,1.4142135623730947
main,508,0.25,1.0,128,5.0,1,1.2980868849057077,0.21915473848416014,nan,1.4142135623730947
main,508,0.35,1.0,128,5.0,1,1.1934425426402695,0.1441906270323634,nan,1.4142135623730947
main,509,0.15,1.0,128,5.0,1,1.1473012491775292,0.12039556521604712,nan,1.4142135623730947
main,509,0.25,1.0,128,5.0,1,1.1701110489608533,0.13086826195957624,nan,1.4142135623730947
main,509,0.35,1.0,128,5.0,1,1.2189460310658353,0.1681617509113287,nan,1.4142135623730947
main,510,0.15,1.0,128,5.0,1,1.221672573713375,0.19365206101882743,nan,1.4142135623730947
main,510,0.25,1.0,128,5.0,1,1.2227044604420754,0.1648452167343683,nan,1.4142135623730947
main,510,0.35,1.0,128,5.0,1,1.2626781851874873,0.19428572872551428,nan,1.4142135623730947
main,511,0.15,1.0,128,5.0,1,1.548313557118598,0.35475886755099234,nan,1.4142135623730947
main,511,0.25,1.0,128,5.0,1,1.5248770855874239,0.3430899006121831,nan,1.4142135623730947
main,511,0.35,1.0,128,5.0,1,1.3354600815260638,0.23522884516490408,nan,1.4142135623730947
main,512,0.15,1.0,128,5.0,1,1.2764738125632016,0.19983689142718003,nan,1.4142135623730947
main,512,0.25,1.0,128,5.0,1,1.230369461817828,0.17485857333649166,nan,1.4142135623730947
main,512,0.35,1.0,128,5.0,1,1.1784468354685744,0.14198490701327415,nan,1.4142135623730947
main,513,0.15,1.0,128,5.0,1,1.3387755499524356,0.2374950350709287,nan,1.4142135623730947
main,513,0.25,1.0,128,5.0,1,1.4389123473776029,0.3099200460606188,nan,1.4142135623730947
main,513,0.35,1.0,128,5.0,1,1.6073331247976723,0.39474059648558624,nan,1.4142135623730947
main,514,0.15,1.0,128,5.0,1,1.3445698136893456,0.2406692370676882,nan,1.4142135623730947
main,514,0.25,1.0,128,5.0,1,1.267186574602224,0.19263988922020575,nan,1.4142135623730947
main,514,0.35,1.0,128,5.0,1,1.240382603911196,0.17788962762467425,nan,1.4142135623730947
main,10503,0.15,1.5,128,5.0,1,1.4951269940758238,0.1583145651368857,25.51062929651044,1.4142135623730947
main,10503,0.25,1.5,128,5.0,1,1.4504980895228847,0.10716012505222379,27.529292909069248,1.4142135623730947
main,10503,0.35,1.5,128,5.0,1,1.3995738332051935,0.08994664880645786,12.286154235932328,1.4142135623730947
main,10504,0.15,1.5,128,5.0,1,1.2501456459025955,0.2699329620517363,23.19436777150971,1.4142135623730947
main,10504,0.25,1.5,128,5.0,1,1.4384681528724286,0.2522974011657288,12.359150966391384,1.4142135623730947
main,10504,0.35,1.5,128,5.0,1,1.5301988379255855,0.2240998727172437,8.697932417470714,1.4142135623730947
main,10505,0.15,1.5,128,5.0,1,1.7735233570612978,0.15357657371421563,6.741457560955637,1.4142135623730947
main,10505,0.25,1.5,128,5.0,1,1.7926892378732848,0.1911843201803802,2.473902692311798,1.4142135623730947
main,10505,0.35,1.5,128,5.0,1,1.6076044760865436,0.18986293830588782,11.127527757119534,1.4142135623730947
main,10506,0.15,1.5,128,5.0,1,1.706605382782897,0.20479474742771736,3.6182659403376327,1.4142135623730947
main,10506,0.25,1.5,128,5.0,1,1.6709009838018614,0.22573149198755546,12.116609603324124,1.4142135623730947
main,10506,0.35,1.5,128,5.0,1,1.6622911243678617,0.1972565971938515,11.150544683865938,1.4142135623730947
main,10507,0.15,1.5,128,5.0,1,1.4832837821649059,0.22218522534443394,44.15905280962967,1.4142135623730947
main,10507,0.25,1.5,128,5.0,1,1.5026677443418763,0.16715520236692621,19.42710785798475,1.4142135623730947
main,10507,0.35,1.5,128,5.0,1,1.5168515667376357,0.12204942694633729,25.121238080661936,1.4142135623730947
main,10508,0.15,1.5,128,5.0,1,1.9759634161828725,0.4008922273832351,16.400482316805025,1.4142135623730947
main,10508,0.25,1.5,128,5.0,1,1.7086271183889263,0.1552624775019691,9.040558591150301,1.4142135623730947
main,10508,0.35,1.5,128,5.0,1,1.6902290956675121,0.1774911414743602,6.715504907737848,1.4142135623730947
main,10509,0.15,1.5,128,5.0,1,1.7579275336547733,0.23642196535633622,30.638434390379622,1.4142135623730947
main,10509,0.25,1.5,128,5.0,1,1.553514601229073,0.2147870618464781,24.024267444660325,1.4142135623730947
main,10509,0.35,1.5,128,5.0,1,1.5440332449204757,0.22136891476693135,34.652362286224204,1.4142135623730947
main,10510,0.15,1.5,128,5.0,1,1.7393662321256422,0.12357454729309142,6.838507227283272,1.4142135623730947
main,10510,0.25,1.5,128,5.0,1,2.1585684605912316,0.33579193346865155,4.647700481649905,1.4142135623730947
main,10510,0.35,1.5,128,5.0,1,2.1180502704278013,0.3453542663795257,11.354515083989702,1.4142135623730947
main,10511,0.15,1.5,128,5.0,1,1.300753833909271,0.18650320616361277,11.476541823790171,1.4142135623730947
main,10511,0.25,1.5,128,5.0,1,1.396774176269292,0.15180373115400275,12.683967785112793,1.4142135623730947
main,10511,0.35,1.5,128,5.0,1,1.5039868936917113,0.13750698968618083,25.814412879780832,1.4142135623730947
main,10512,0.15,1.5,128,5.0,1,1.7714978094940452,0.24213771089390249,27.78273610919494,1.4142135623730947
main,10512,0.25,1.5,128,5.0,1,1.548623501176232,0.21691216020707924,12.863529247046896,1.4142135623730947
main,10512,0.35,1.5,128,5.0,1,1.6212291186431047,0.2560272662816409,56.55646321117944,1.4142135623730947
main,10513,0.15,1.5,128,5.0,1,1.4860300424864648,0.18633332303659147,10.08450900422541,1.4142135623730947
main,10513,0.25,1.5,128,5.0,1,1.6074699067605012,0.21533809239111315,17.597783165150403,1.4142135623730947
main,10513,0.35,1.5,128,5.0,1,1.6287620926551718,0.1895703853643394,14.673940744293446,1.4142135623730947
main,10514,0.15,1.5,128,5.0,1,1.521300859394771,0.21843103890245016,29.254628697732496,1.4142135623730947
main,10514,0.25,1.5,128,5.0,1,1.6021913051517809,0.1300316742954719,10.591583331065952,1.4142135623730947
main,10514,0.35,1.5,128,5.0,1,1.5413525594858053,0.13005892258465848,9.72300474903002,1.4142135623730947
main,20503,0.15,2.0,128,5.0,1,2.5647594670969545,0.24160613571385303,12.845458511018006,1.4142135623730947
main,20503,0.25,2.0,128,5.0,1,2.658048432232592,0.2610173905308065,11.15840643790154,1.4142135623730947
main,20503,0.35,2.0,128,5.0,1,2.4710473285147665,0.1924982538718876,9.394508368437005,1.4142135623730947
main,20504,0.15,2.0,128,5.0,1,2.148627730934365,0.21549087917332643,8.61113385848537,1.4142135623730947
main,20504,0.25,2.0,128,5.0,1,1.9933378025461346,0.15761992200165123,7.013912308334965,1.4142135623730947
main,20504,0.35,2.0,128,5.0,1,1.9470242934800888,0.1056647469210051,2.788224462925342,1.4142135623730947
main,20505,0.15,2.0,128,5.0,1,1.9609429599964379,0.15164216878077963,10.727830197277973,1.4142135623730947
main,20505,0.25,2.0,128,5.0,1,2.053222270318254,0.24526840278496687,12.993018587500657,1.4142135623730947
main,20505,0.35,2.0,128,5.0,1,1.8917226650331287,0.25630766017621764,10.548686571677207,1.4142135623730947
main,20506,0.15,2.0,128,5.0,1,1.8751786164567155,0.12159025295825347,9.514129864189151,1.4142135623730947
main,20506,0.25,2.0,128,5.0,1,1.8664323043731368,0.11489378327396225,8.331172426773472,1.4142135623730947
main,20506,0.35,2.0,128,5.0,1,1.9402403842065463,0.17511796129808765,11.391245424421511,1.4142135623730947
main,20507,0.15,2.0,128,5.0,1,2.5026455299875154,0.21041611947368566,13.526235678368753,1.4142135623730947
main,20507,0.25,2.0,128,5.0,1,2.2073223666577215,0.13053344537493533,2.899566198568452,1.4142135623730947
main,20507,0.35,2.0,128,5.0,1,2.186924934610106,0.20597962636099845,18.78454260533343,1.4142135623730947
main,20508,0.15,2.0,128,5.0,1,1.9740991589273056,0.19261315908973412,10.52131316867035,1.4142135623730947
main,20508,0.25,2.0,128,5.0,1,2.034413234644123,0.13695235046593887,8.044432828716614,1.4142135623730947
main,20508,0.35,2.0,128,5.0,1,1.9732870024932203,0.04360483196273814,6.71724975281774,1.4142135623730947
main,20509,0.15,2.0,128,5.0,1,2.205248740687547,0.11229556450413598,8.955899849235967,1.4142135623730947
main,20509,0.25,2.0,128,5.0,1,2.1901718754142996,0.14999855850047003,11.585618076795221,1.4142135623730947
main,20509,0.35,2.0,128,5.0,1,2.2405850690808933,0.15927877611157165,17.01871290302722,1.4142135623730947
main,20510,0.15,2.0,128,5.0,1,1.76064724024499,0.1769446388533816,13.604801180699912,1.4142135623730947
main,20510,0.25,2.0,128,5.0,1,1.8696889728314523,0.1257677649363259,19.847724097028017,1.4142135623730947
main,20510,0.35,2.0,128,5.0,1,2.1360901551171905,0.13811449857435723,19.238423962637608,1.4142135623730947
main,20511,0.15,2.0,128,5.0,1,2.525470017898487,0.17372000175475816,2.163348470865851,1.4142135623730947
main,20511,0.25,2.0,128,5.0,1,2.4284478505147185,0.15041004928676865,4.137278277088052,1.4142135623730947
main,20511,0.35,2.0,128,5.0,1,2.18815666581315,0.08672482364517073,5.924468137334883,1.4142135623730947
main,20512,0.15,2.0,128,5.0,1,2.1046440387241865,0.1550872491621167,14.096838295605409,1.4142135623730947
main,20512,0.25,2.0,128,5.0,1,2.1199584166809684,0.14202240949756512,1.5522166533495652,1.4142135623730947
main,20512,0.35,2.0,128,5.0,1,1.8430720881428653,0.08384395661116958,1.7208879274261846,1.4142135623730947
main,20513,0.15,2.0,128,5.0,1,3.2437152095732293,0.5302045118235122,9.536913506591228,1.4142135623730947
main,20513,0.25,2.0,128,5.0,1,2.8499082903207205,0.3872552678810018,6.271241776435514,1.4142135623730947
main,20513,0.35,2.0,128,5.0,1,2.0860494151940543,0.0653054662101691,2.727638125752993,1.4142135623730947
main,20514,0.15,2.0,128,5.0,1,2.2120927466439255,0.16786914810048817,10.94662472723159,1.4142135623730947
main,20514,0.25,2.0,128,5.0,1,2.3214939341785383,0.16670016435171597,12.031648999393955,1.4142135623730947
main,20514,0.35,2.0,128,5.0,1,2.3473520774770105,0.140142434020799,3.2550557035387584,1.4142135623730947
main,30503,0.15,3.0,128,5.0,1,4.480098277644576,0.5363501601973444,4.156771068989146,1.4142135623730947
main,30503,0.25,3.0,128,5.0,1,3.4877147210991075,0.27718632732372417,5.4809558890490475,1.4142135623730947
main,30503,0.35,3.0,128,5.0,1,3.010562626184828,0.15023017231966007,2.162922611809801,1.4142135623730947
main,30504,0.15,3.0,128,5.0,1,3.594676883652834,0.13027009856526225,3.1656476943517284,1.4142135623730947
main,30504,0.25,3.0,128,5.0,1,3.1034701830583233,0.14317397769584467,7.055440495716186,1.4142135623730947
main,30504,0.35,3.0,128,5.0,1,2.831184532248322,0.16600309996073134,5.882748784655678,1.4142135623730947
main,30505,0.15,3.0,128,5.0,1,3.7240142201375757,0.14785671498945788,1.8849413834788828,1.4142135623730947
main,30505,0.25,3.0,128,5.0,1,3.1855029033624174,0.10442140808911941,1.1436520294902617,1.4142135623730947
main,30505,0.35,3.0,128,5.0,1,2.889977280056489,0.19868818422849832,4.083013434635586,1.4142135623730947
main,30506,0.15,3.0,128,5.0,1,3.0339430247415793,0.11588689879235184,5.506829644752135,1.4142135623730947
main,30506,0.25,3.0,128,5.0,1,3.1293234108951533,0.16263098111039484,12.738862580233908,1.4142135623730947
main,30506,0.35,3.0,128,5.0,1,3.064459683372574,0.14980325238736372,14.115388367835152,1.4142135623730947
main,30507,0.15,3.0,128,5.0,1,2.707607073873739,0.2763650238207885,4.803978734636998,1.4142135623730947
main,30507,0.25,3.0,128,5.0,1,2.8003490369320008,0.18286235404058612,3.3053305985030907,1.4142135623730947
main,30507,0.35,3.0,128,5.0,1,2.9492450922533084,0.09971596968067256,2.5265362629906076,1.4142135623730947
main,30508,0.15,3.0,128,5.0,1,2.978662887029565,0.15230944155405277,5.5558168982250775,1.4142135623730947
main,30508,0.25,3.0,128,5.0,1,3.035741231951547,0.09143768517480665,6.575064143980131,1.4142135623730947
main,30508,0.35,3.0,128,5.0,1,2.9454890840323404,0.07643036076134263,10.525693261123113,1.4142135623730947
main,30509,0.15,3.0,128,5.0,1,4.518519689511734,0.453406280873462,8.925427944516453,1.4142135623730947
main,30509,0.25,3.0,128,5.0,1,3.1850016597111366,0.1428356701572536,2.6692797592036404,1.4142135623730947
main,30509,0.35,3.0,128,5.0,1,3.2241811303683403,0.17104007357626635,0.7140047689871643,1.4142135623730947
main,30510,0.15,3.0,128,5.0,1,3.657809025328058,0.3637371678405407,10.14460656787904,1.4142135623730947
main,30510,0.25,3.0,128,5.0,1,3.4394482717285517,0.19894678546937142,5.965239839005764,1.4142135623730947
main,30510,0.35,3.0,128,5.0,1,3.221544020760243,0.1656072292615996,7.164863060623952,1.4142135623730947
main,30511,0.15,3.0,128,5.0,1,3.498242415974503,0.15535661250421706,3.1641454299515672,1.4142135623730947
main,30511,0.25,3.0,128,5.0,1,3.486819078791637,0.16525022935722292,4.414960205976298,1.4142135623730947
main,30511,0.35,3.0,128,5.0,1,3.6260504771556716,0.19846430679414814,3.2197381909984655,1.4142135623730947
main,30512,0.15,3.0,128,5.0,1,3.344376702110251,0.10761592005260517,2.668767128539324,1.4142135623730947
main,30512,0.25,3.0,128,5.0,1,3.1114026339919123,0.050968458237000025,4.30862050549239,1.4142135623730947
main,30512,0.35,3.0,128,5.0,1,3.15048704536203,0.08760400274788091,0.45009493848482507,1.4142135623730947
main,30513,0.15,3.0,128,5.0,1,3.187176999765016,0.12214915527269121,9.011143309285236,1.4142135623730947
main,30513,0.25,3.0,128,5.0,1,2.77279781022231,0.13039714100963004,4.129298781419612,1.4142135623730947
main,30513,0.35,3.0,128,5.0,1,2.8150789435594334,0.11810130791622132,2.1074353904841683,1.4142135623730947
main,30514,0.15,3.0,128,5.0,1,2.613140530844972,0.2427650904333222,16.263592679399757,1.4142135623730947
main,30514,0.25,3.0,128,5.0,1,3.1348982394555462,0.346250224201204,12.918860074669036,1.4142135623730947
main,30514,0.35,3.0,128,5.0,1,3.236884132130485,0.23546458944712656,15.794089720630945,1.4142135623730947
main,40503,0.15,4.0,128,5.0,1,6.256218736657238,0.5241811807363942,12.748256872076887,1.4142135623730947
main,40503,0.25,4.0,128,5.0,1,4.85621774324054,0.2657898656686867,6.248459989884065,1.4142135623730947
main,40503,0.35,4.0,128,5.0,1,4.157344070326426,0.14054548725955518,6.511156929094687,1.4142135623730947
main,40504,0.15,4.0,128,5.0,1,4.114670920042889,0.11718230970446815,11.139652986628143,1.4142135623730947
main,40504,0.25,4.0,128,5.0,1,4.354078994640304,0.2557890259178794,7.779656675015878,1.4142135623730947
main,40504,0.35,4.0,128,5.0,1,4.240459093311511,0.19095005614848773,1.453580128338793,1.4142135623730947
main,40505,0.15,4.0,128,5.0,1,3.8128889894172806,0.055690140135110845,5.069983794295809,1.4142135623730947
main,40505,0.25,4.0,128,5.0,1,3.41608712239659,0.10363985117939135,4.626863134857936,1.4142135623730947
main,40505,0.35,4.0,128,5.0,1,3.8365506352506733,0.10196892732742378,7.142482261050395,1.4142135623730947
main,40506,0.15,4.0,128,5.0,1,5.408435215835667,0.23802717464363318,2.800880821330951,1.4142135623730947
main,40506,0.25,4.0,128,5.0,1,4.761259834767239,0.16055768470779946,3.181764736888234,1.4142135623730947
