subvolume_id,grid_i,grid_j,grid_k,center_a0,center_a1,center_a2,porosity,A_ref,ell_geom_ref,major_gap,orientation_reliable,seed_eta_median,seed_pair_median,seed_pair_max,seed_A_sd,seed_ell_geom_cv,q00,q11,q22,q01,q02,q12
G00,0,0,0,384,384,384,0.23095843195915222,1.2333084494598203,16.23892734860543,0.07125965878346921,False,0.009565399164163848,0.0313400544317844,0.04227291268399166,0.012008212186160775,0.01131591944484652,0.0037163602322273486,0.0035916860408039936,0.004244056512347243,-0.00010911776877931953,0.00028468329097304057,-0.0006996004061893082
G01,0,0,1,384,384,1250,0.2398700937628746,1.1888203033320672,19.359701729768474,0.04083032714078902,False,0.010023252461823113,0.02115161404970209,0.027244547346856995,0.006870490889038886,0.0062490214542757425,0.002530826141725475,0.002406824089058507,0.003156171583435629,-2.7752558043884867e-06,0.00014462808639454137,-0.00026761676116412796
G02,0,0,2,384,384,2116,0.22539497166872025,1.1924246513596142,15.656609935675007,0.05833917346293795,False,0.008134795111643304,0.03702954796617622,0.0463917100285249,0.014292987203244383,0.008402691596905631,0.004123963236103571,0.003874372757882137,0.004373352794511757,1.5719098496022593e-05,0.0006201278192157981,0.0003485473760503878
G03,0,1,0,384,1250,384,0.21613788604736328,1.1780859067613885,17.763208875752653,0.08033220238193381,False,0.010242444527262749,0.038831125743561526,0.057234243148877685,0.015940393406292934,0.0073428070985285,0.003263093646610662,0.003303718280774612,0.0030261816491819046,-0.00011158399775433551,0.0003758901092331675,-0.00030931343606652645
G04,0,1,1,384,1250,1250,0.20422931015491486,1.2646030482440807,16.010482445205387,0.05618388718913005,False,0.01220013562473184,0.02937604831537397,0.04978850580123893,0.01870851917146092,0.00907892677021006,0.0033591669304548336,0.003926049118793731,0.004661140189091438,-0.00012755129159951228,0.0004504227961493684,-0.0006222291487708607
G05,0,1,2,384,1250,2116,0.2094140723347664,1.1215405739841444,16.992979628102532,0.07350568153057098,False,0.009921781180702804,0.029736945491192664,0.036959991108791355,0.015926248082609472,0.015044049204648429,0.0033738975387195094,0.003805735332307335,0.0032562811431842273,9.491678986783704e-05,0.0002562583081278177,1.274250037550577e-05
G06,0,2,0,384,2116,384,0.23319561034440994,1.1069623367529824,17.546546698661054,0.043089812826742874,False,0.008545394410769293,0.028219521877817313,0.03397141954360675,0.0062555499442890706,0.008280400195415904,0.0031107504091756363,0.003580677733544221,0.0030865059262572487,8.303728091361758e-06,0.00013933589195567168,0.00012019459676342578
G07,0,2,1,384,2116,1250,0.2186349779367447,1.188699457331085,15.587271059196656,0.05579752034459826,False,0.011186532421198974,0.02252393200940385,0.030993548178383793,0.013274955604223405,0.005035951534686372,0.004202010388350478,0.003691835489933325,0.004584001414564984,0.00010977223575360423,0.00043009023306108345,0.0004048581748320025
G08,0,2,2,384,2116,2116,0.22875548899173737,1.2545141928859807,16.42517113317205,0.1147752025665641,True,0.007963799124239095,0.033897110829072055,0.04348026477162927,0.020678124781309974,0.01465885263059439,0.00392969117922142,0.0036712386607282506,0.003709653382456172,-0.00010916623330248573,0.0004546877486808848,-0.0006875165949907301
G09,1,0,0,1250,384,384,0.2435605153441429,1.2443181619658943,18.25842197906549,0.06653582533717575,False,0.011598027784481244,0.029151563785756604,0.03962306606936427,0.012078546715781902,0.00872690264698413,0.0032653082754038124,0.0027487143830524172,0.0031393017739967627,-0.00023620847909717078,0.00043252921135680523,-0.00042228626110635454
